state,st,district,dc
Bihar,10,Vaishali,18
Bihar,10,Samastipur,19
Bihar,10,Begusarai,20
Bihar,10,Khagaria,21
Bihar,10,Bhagalpur,22
Bihar,10,Banka,23
Bihar,10,Munger,24
Bihar,10,Lakhisarai,25
Bihar,10,Sheikhpura,26
Bihar,10,Nalanda,27
Bihar,10,Patna,28
Bihar,10,Bhojpur,29
Bihar,10,Buxar,30
Bihar,10,Kaimur (Bhabua),31
Bihar,10,Rohtas,32
Bihar,10,Aurangabad,33
Bihar,10,Gaya,34
Bihar,10,Nawada,35
Bihar,10,Jehanabad,37
Bihar,10,Arwal,38
Chandigarh,4,Chandigarh,1
Chhattisgarh,22,Koriya,1
Chhattisgarh,22,Surguja,2
Chhattisgarh,22,Jashpur,3
Chhattisgarh,22,Raigarh,4
Chhattisgarh,22,Korba,5
Chhattisgarh,22,Janjgir-Champa,6
Chhattisgarh,22,Bilaspur,7
Chhattisgarh,22,Kabeerdham,8
Chhattisgarh,22,Rajnandgaon,9
Chhattisgarh,22,Durg,10
Chhattisgarh,22,Raipur,11
Chhattisgarh,22,Mahasamund,12
Chhattisgarh,22,Dhamtari,13
Chhattisgarh,22,Uttar Bastar Kanker,14
Chhattisgarh,22,Bastar,15
Chhattisgarh,22,Narayanpur,16
Chhattisgarh,22,Dakshin Bastar Dantewada,17
Chhattisgarh,22,Bijapur,18
Chhattisgarh,22,Balodabazar,19
Chhattisgarh,22,Gariyaband,20
Chhattisgarh,22,Kondagaon,21
Chhattisgarh,22,Sukama,22
Chhattisgarh,22,Bemetara,23
Chhattisgarh,22,Balod,24
Chhattisgarh,22,Mungeli,25
Chhattisgarh,22,Surajpur,26
Chhattisgarh,22,Balrampur,27
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1
Daman & Diu,25,Diu,1
Daman & Diu,25,Daman,2
Delhi,7,North West,1
Delhi,7,North,2
Delhi,7,North East,3
Delhi,7,East,4
Delhi,7,New Delhi,5
Delhi,7,Central,6
Delhi,7,West,7
Delhi,7,South West,8
Delhi,7,South,9
Goa,30,North Goa,1
Goa,30,South Goa,2
Gujarat,24,Kachchh,1
Gujarat,24,Banas Kantha,2
Gujarat,24,Patan,3
Gujarat,24,Mahesana,4
Gujarat,24,Sabar Kantha,5
Gujarat,24,Gandhinagar,6
Gujarat,24,Ahmadabad,7
Gujarat,24,Surendranagar,8
Gujarat,24,Rajkot,9
Gujarat,24,Jamnagar,10
Gujarat,24,Porbandar,11
Gujarat,24,Junagadh,12
Gujarat,24,Amreli,13
Gujarat,24,Bhavnagar,14
Gujarat,24,Anand,15
Gujarat,24,Kheda,16
Gujarat,24,Panch Mahals,17
Gujarat,24,Dohad,18
Gujarat,24,Vadodara,19
Gujarat,24,Narmada,20
Gujarat,24,Bharuch,21
Gujarat,24,The Dangs,22
Gujarat,24,Navsari,23
Gujarat,24,Valsad,24
Gujarat,24,Surat,25
Gujarat,24,Tapi,26
Haryana,6,Panchkula,1
Haryana,6,Ambala,2
Haryana,6,Yamunanagar,3
Haryana,6,Kurukshetra,4
Haryana,6,Kaithal,5
Haryana,6,Karnal,6
Haryana,6,Panipat,7
Haryana,6,Sonipat,8
Haryana,6,Jind,9
Haryana,6,Fatehabad,10
Haryana,6,Sirsa,11
Haryana,6,Hisar,12
Haryana,6,Bhiwani,13
Haryana,6,Rohtak,14
Haryana,6,Jhajjar,15
Haryana,6,Mahendragarh,16
Haryana,6,Rewari,17
Haryana,6,Gurgaon,18
Haryana,6,Mewat,19
Haryana,6,Faridabad,20
Haryana,6,Palwal,21
Himachal Pradesh,2,Chamba,1
Himachal Pradesh,2,Kangra,2
Himachal Pradesh,2,Lahul & Spiti,3
Himachal Pradesh,2,Kullu,4
Himachal Pradesh,2,Mandi,5
Himachal Pradesh,2,Hamirpur,6
Himachal Pradesh,2,Una,7
Himachal Pradesh,2,Bilaspur,8
Himachal Pradesh,2,Solan,9
Himachal Pradesh,2,Sirmaur,10
Himachal Pradesh,2,Shimla,11
Himachal Pradesh,2,Kinnaur,12
Jammu & Kashmir,1,Kupwara,1
Jammu & Kashmir,1,Badgam,2
Jammu & Kashmir,1,Leh,3
Jammu & Kashmir,1,Kargil,4
Jammu & Kashmir,1,Punch,5
Jammu & Kashmir,1,Rajouri,6
Jammu & Kashmir,1,Kathua,7
Jammu & Kashmir,1,Baramula,8
Jammu & Kashmir,1,Bandipore,9
Jammu & Kashmir,1,Srinagar,10
Jammu & Kashmir,1,Ganderbal,11
Jammu & Kashmir,1,Pulwama,12
Jammu & Kashmir,1,Shupiyan,13
Jammu & Kashmir,1,Anantnag,14
Jammu & Kashmir,1,Kulgam,15
Jammu & Kashmir,1,Doda,16
Jammu & Kashmir,1,Ramban,17
Jammu & Kashmir,1,Kishtwar,18
Jammu & Kashmir,1,Udhampur,19
Jammu & Kashmir,1,Reasi,20
Jammu & Kashmir,1,Jammu,21
Jammu & Kashmir,1,Samba,22
Jharkhand,20,Garhwa,1
Jharkhand,20,Chatra,2
Jharkhand,20,Kodarma,3
Jharkhand,20,Giridih,4
Jharkhand,20,Deoghar,5
Jharkhand,20,Godda,6
Jharkhand,20,Sahibganj,7
Jharkhand,20,Pakur,8
Jharkhand,20,Dhanbad,9
Jharkhand,20,Bokaro,10
Jharkhand,20,Lohardaga,11
Jharkhand,20,Purbi Singhbhum,12
Jharkhand,20,Palamu,13
Jharkhand,20,Latehar,14
Jharkhand,20,Hazaribagh,15
Jharkhand,20,Ramgarh,16
Jharkhand,20,Dumka,17
Jharkhand,20,Jamtara,18
Jharkhand,20,Ranchi,19
Jharkhand,20,Khunti,20
Jharkhand,20,Gumla,21
Jharkhand,20,Simdega,22
Jharkhand,20,Pashchimi Singhbhum,23
Jharkhand,20,Saraikela-Kharsawan,24
Karnataka,29,Belgaum,1
Karnataka,29,Bagalkot,2
Karnataka,29,Bijapur,3
Karnataka,29,Bidar,4
Karnataka,29,Raichur,5
Karnataka,29,Koppal,6
Karnataka,29,Gadag,7
Karnataka,29,Dharwad,8
Karnataka,29,Uttara Kannada,9
Karnataka,29,Haveri,10
Karnataka,29,Bellary,11
Karnataka,29,Chitradurga,12
Karnataka,29,Davanagere,13
Karnataka,29,Shimoga,14
Karnataka,29,Udupi,15
Karnataka,29,Chikmagalur,16
Karnataka,29,Tumkur,17
Karnataka,29,Bangalore,18
Karnataka,29,Mandya,19
Karnataka,29,Hassan,20
Karnataka,29,Dakshina Kannada,21
Karnataka,29,Kodagu,22
Karnataka,29,Mysore,23
Karnataka,29,Chamarajanagar,24
Karnataka,29,Gulbarga,25
Karnataka,29,Yadgir,26
Karnataka,29,Kolar,27
Karnataka,29,Chikkaballapura,28
Karnataka,29,Bangalore Rural,29
Karnataka,29,Ramanagara,30
Kerala,32,Kasaragod,1
Kerala,32,Kannur,2
Kerala,32,Wayanad,3
Kerala,32,Kozhikode,4
Kerala,32,Malappuram,5
Kerala,32,Palakkad,6
Kerala,32,Thrissur,7
Kerala,32,Ernakulam,8
Kerala,32,Idukki,9
Kerala,32,Kottayam,10
Kerala,32,Alappuzha,11
Kerala,32,Pathanamthitta,12
Kerala,32,Kollam,13
Kerala,32,Thiruvananthapuram,14
Lakshadweep,31,Lakshadweep,1
Madhya Pradesh,23,Sheopur,1
Madhya Pradesh,23,Morena,2
Madhya Pradesh,23,Bhind,3
Madhya Pradesh,23,Gwalior,4
Madhya Pradesh,23,Datia,5
Madhya Pradesh,23,Shivpuri,6
Madhya Pradesh,23,Tikamgarh,7
Madhya Pradesh,23,Chhatarpur,8
Madhya Pradesh,23,Panna,9
Madhya Pradesh,23,Sagar,10
Madhya Pradesh,23,Damoh,11
Madhya Pradesh,23,Satna,12
Madhya Pradesh,23,Rewa,13
Madhya Pradesh,23,Umaria,14
Madhya Pradesh,23,Neemuch,15
Madhya Pradesh,23,Mandsaur,16
Madhya Pradesh,23,Ratlam,17
Madhya Pradesh,23,Ujjain,18
Madhya Pradesh,23,Shajapur,19
Madhya Pradesh,23,Dewas,20
Madhya Pradesh,23,Dhar,21
Madhya Pradesh,23,Indore,22
Madhya Pradesh,23,Khargone (West Nimar),23
Madhya Pradesh,23,Barwani,24
Madhya Pradesh,23,Rajgarh,25
Madhya Pradesh,23,Vidisha,26
Madhya Pradesh,23,Bhopal,27
Madhya Pradesh,23,Sehore,28
Madhya Pradesh,23,Raisen,29
Madhya Pradesh,23,Betul,30
Madhya Pradesh,23,Harda,31
Madhya Pradesh,23,Hoshangabad,32
Madhya Pradesh,23,Katni,33
Madhya Pradesh,23,Jabalpur,34
Madhya Pradesh,23,Narsimhapur,35
Madhya Pradesh,23,Dindori,36
Madhya Pradesh,23,Mandla,37
Madhya Pradesh,23,Chhindwara,38
Madhya Pradesh,23,Seoni,39
Madhya Pradesh,23,Balaghat,40
Madhya Pradesh,23,Guna,41
Madhya Pradesh,23,Ashoknagar,42
Madhya Pradesh,23,Shahdol,43
Madhya Pradesh,23,Anuppur,44
Madhya Pradesh,23,Sidhi,45
Madhya Pradesh,23,Singrauli,46
Madhya Pradesh,23,Jhabua,47
Madhya Pradesh,23,Alirajpur,48
Madhya Pradesh,23,Khandwa (East Nimar),49
Madhya Pradesh,23,Burhanpur,50
Maharashtra,27,Nandurbar,1
Maharashtra,27,Dhule ,2
Maharashtra,27,Jalgaon ,3
Maharashtra,27,Buldana,4
Maharashtra,27,Akola,5
Maharashtra,27,Washim,6
Maharashtra,27,Amravati ,7
Maharashtra,27,Wardha ,8
Maharashtra,27,Nagpur ,9
Maharashtra,27,Bhandara ,10
Maharashtra,27,Gondiya ,11
Maharashtra,27,Gadchiroli ,12
Maharashtra,27,Chandrapur,13
Maharashtra,27,Yavatmal,14
Maharashtra,27,Nanded,15
Maharashtra,27,Hingoli,16
Maharashtra,27,Parbhani,17
Maharashtra,27,Jalna,18
Maharashtra,27,Aurangabad,19
Maharashtra,27,Nashik,20
Maharashtra,27,Thane,21
Maharashtra,27,Mumbai Suburban,22
Maharashtra,27,Mumbai ,23
Maharashtra,27,Raigarh ,24
Maharashtra,27,Pune,25
Maharashtra,27,Ahmadnagar,26
Maharashtra,27,Bid,27
Maharashtra,27,Latur,28
Maharashtra,27,Osmanabad,29
Maharashtra,27,Solapur ,30
Maharashtra,27,Satara,31
Maharashtra,27,Ratnagiri ,32
Maharashtra,27,Sindhudurg,33
Maharashtra,27,Kolhapur ,34
Maharashtra,27,Sangli,35
Manipur,14,Senapati,1
Manipur,14,Tamenglong,2
Manipur,14,Churachandpur,3
Manipur,14,Bishnupur,4
Manipur,14,Thoubal,5
Manipur,14,Imphal West,6
Manipur,14,Imphal East,7
Manipur,14,Ukhrul,8
Manipur,14,Chandel,9
Meghalaya,17,West Garo Hills,1
Meghalaya,17,East Garo Hills,2
Meghalaya,17,South Garo Hills,3
Meghalaya,17,West Khasi Hills,4
Meghalaya,17,Ribhoi,5
Meghalaya,17,East Khasi Hills,6
Meghalaya,17,Jaintia Hills,7
Mizoram,15,Mamit,1
Mizoram,15,Kolasib,2
Mizoram,15,Aizwal,3
Mizoram,15,Champhai,4
Mizoram,15,Serchhip,5
Mizoram,15,Lunglei,6
Mizoram,15,Lawngtlai,7
Mizoram,15,Saiha,8
Nagaland,13,Mon,1
Nagaland,13,Mokokchung,2
Nagaland,13,Zunheboto,3
Nagaland,13,Wokha,4
Nagaland,13,Dimapur,5
Nagaland,13,Phek,6
Nagaland,13,Tuensang,7
Nagaland,13,Longleng,8
Nagaland,13,Kiphire,9
Nagaland,13,Kohima,10
Nagaland,13,Peren,11
Odisha,21,Bargarh,1
Odisha,21,Jharsuguda,2
Odisha,21,Sambalpur,3
Odisha,21,Debagarh,4
Odisha,21,Sundargarh,5
Odisha,21,Kendujhar,6
Odisha,21,Mayurbhanj,7
Odisha,21,Baleshwar,8
Odisha,21,Bhadrak,9
Odisha,21,Kendrapara,10
Odisha,21,Jagatsinghapur,11
Odisha,21,Cuttack,12
Odisha,21,Jajapur,13
Odisha,21,Dhenkanal,14
Odisha,21,Anugul,15
Odisha,21,Nayagarh,16
Odisha,21,Khordha,17
Odisha,21,Puri,18
Odisha,21,Ganjam,19
Odisha,21,Gajapati,20
Odisha,21,Kandhamal,21
Odisha,21,Baudh,22
Odisha,21,Subarnapur,23
Odisha,21,Balangir,24
Odisha,21,Nuapada,25
Odisha,21,Kalahandi,26
Odisha,21,Rayagada,27
Odisha,21,Nabarangapur,28
Odisha,21,Koraput,29
Odisha,21,Malkangiri,30
Puducherry,34,Yanam,1
Puducherry,34,Puducherry,2
Puducherry,34,Mahe,3
Puducherry,34,Karaikal,4
Punjab,3,Gurdaspur,1
Punjab,3,Kapurthala,2
Punjab,3,Jalandhar,3
Punjab,3,Hoshiarpur,4
Punjab,3,Shahid Bhagat Singh Nagar,5
Punjab,3,Fatehgarh Sahib,6
Punjab,3,Ludhiana,7
Punjab,3,Moga,8
Punjab,3,Firozpur,9
Punjab,3,Muktsar,10
Punjab,3,Faridkot,11
Punjab,3,Bathinda,12
Punjab,3,Mansa,13
Punjab,3,Patiala,14
Punjab,3,Amritsar,15
Punjab,3,Tarn Taran,16
Punjab,3,Rupnagar,17
Punjab,3,Sahibzada Ajit Singh Nagar,18
Punjab,3,Sangrur,19
Punjab,3,Barnala,20
Punjab,3,Pathankot,21
Punjab,3,Fazilka,22
Rajasthan,8,Bikaner,3
Rajasthan,8,Jodhpur,15
Rajasthan,8,Jaisalmer,16
Rajasthan,8,Barmer,17
Rajasthan,8,Jalor,18
Rajasthan,8,Sirohi,19
Rajasthan,8,Pali,20
Rajasthan,8,Alwar,6
Rajasthan,8,Bharatpur,7
Rajasthan,8,Dhaulpur,8
Rajasthan,8,Karauli,9
Rajasthan,8,Sawai Madhopur,10
Rajasthan,8,Dausa,11
Rajasthan,8,Jaipur,12
Rajasthan,8,Ajmer,21
Rajasthan,8,Tonk,22
Rajasthan,8,Bhilwara,24
Rajasthan,8,Rajsamand,25
Rajasthan,8,Dungarpur,26
Rajasthan,8,Banswara,27
Rajasthan,8,Udaipur,32
Rajasthan,8,Bundi,23
Rajasthan,8,Chittaurgarh,28
Rajasthan,8,Kota,29
Rajasthan,8,Baran,30
Rajasthan,8,Jhalawar,31
Rajasthan,8,Pratapgarh,33
Rajasthan,8,Sri Ganganagar,1
Rajasthan,8,Hanumangarh,2
Rajasthan,8,Churu,4
Rajasthan,8,Jhunjhunun,5
Rajasthan,8,Sikar,13
Rajasthan,8,Nagaur,14
Sikkim,11,North District,1
Sikkim,11,West District,2
Sikkim,11,South District,3
Sikkim,11,East District,4
Tamil Nadu,33,Thiruvallur,1
Tamil Nadu,33,Chennai,2
Tamil Nadu,33,Kancheepuram,3
Tamil Nadu,33,Vellore,4
Tamil Nadu,33,Tiruvannamalai,5
Tamil Nadu,33,Viluppuram,6
Tamil Nadu,33,Cuddalore,16
Tamil Nadu,33,Karur,12
Tamil Nadu,33,Tiruchirappalli,13
Tamil Nadu,33,Perambalur,14
Tamil Nadu,33,Ariyalur,15
Tamil Nadu,33,Nagapattinam,17
Tamil Nadu,33,Thiruvarur,18
Tamil Nadu,33,Thanjavur,19
Tamil Nadu,33,Pudukkottai,20
Tamil Nadu,33,Dindigul,11
Tamil Nadu,33,Sivaganga,21
Tamil Nadu,33,Madurai,22
Tamil Nadu,33,Theni,23
Tamil Nadu,33,Virudhunagar,24
Tamil Nadu,33,Ramanathapuram,25
Tamil Nadu,33,Thoothukkudi,26
Tamil Nadu,33,Tirunelveli,27
Tamil Nadu,33,Kanniyakumari,28
Tamil Nadu,33,Salem,7
Tamil Nadu,33,Namakkal,8
Tamil Nadu,33,Erode,9
Tamil Nadu,33,The Nilgiris,10
Tamil Nadu,33,Dharmapuri,29
Tamil Nadu,33,Krishnagiri,30
Tamil Nadu,33,Coimbatore,31
Tamil Nadu,33,Tiruppur,32
Telangana,36,Adilabad,1
Telangana,36,Komaram Bheem,2
Telangana,36,Mancherial,3
Telangana,36,Nirmal,4
Telangana,36,Nizamabad,5
Telangana,36,Kamareddy,15
Telangana,36,Sangareddy,16
Telangana,36,Medak,17
Telangana,36,Siddipet,18
Telangana,36,Medchal-Malkajgiri,21
Telangana,36,Hyderabad,22
Telangana,36,Rangareddy,23
Telangana,36,Vikarabad,24
Telangana,36,Mahbubnagar,25
Telangana,36,Jogulamba,26
Telangana,36,Wanaparthy,27
Telangana,36,Nagarkurnool,28
Telangana,36,Jagtial,6
Telangana,36,Peddapalli,7
Telangana,36,Jayashankar,8
Telangana,36,Bhadradri,9
Telangana,36,Mahabubabad,10
Telangana,36,Warangal Rural,11
Telangana,36,Warangal Urban,12
Telangana,36,Karimnagar,13
Telangana,36,Rajanna,14
Telangana,36,Jangaon,19
Telangana,36,Yadadri,20
Telangana,36,Nalgonda,29
Telangana,36,Suryapet,30
Telangana,36,Khammam,31
Tripura,16,West Tripura,1
Tripura,16,South Tripura,2
Tripura,16,Dhalai,3
Tripura,16,North Tripura,4
Uttar Pradesh,9,Saharanpur,1
Uttar Pradesh,9,Muzaffarnagar,2
Uttar Pradesh,9,Bijnor,3
Uttar Pradesh,9,Moradabad,4
Uttar Pradesh,9,Rampur,5
Uttar Pradesh,9,Jyotiba Phule Nagar,6
Uttar Pradesh,9,Meerut,7
Uttar Pradesh,9,Baghpat,8
Uttar Pradesh,9,Ghaziabad,9
Uttar Pradesh,9,Gautam Buddha Nagar,10
Uttar Pradesh,9,Bulandshahr,11
Uttar Pradesh,9,Aligarh,12
Uttar Pradesh,9,Mahamaya Nagar,13
Uttar Pradesh,9,Mathura,14
Uttar Pradesh,9,Agra,15
Uttar Pradesh,9,Firozabad,16
Uttar Pradesh,9,Mainpuri,17
Uttar Pradesh,9,Budaun,18
Uttar Pradesh,9,Bareilly,19
Uttar Pradesh,9,Pilibhit,20
Uttar Pradesh,9,Shahjahanpur,21
Uttar Pradesh,9,Kheri,22
Uttar Pradesh,9,Sitapur,23
Uttar Pradesh,9,Hardoi,24
Uttar Pradesh,9,Unnao,25
Uttar Pradesh,9,Lucknow,26
Uttar Pradesh,9,Rae Bareli,27
Uttar Pradesh,9,Farrukhabad,28
Uttar Pradesh,9,Kannauj,29
Uttar Pradesh,9,Etawah,30
Uttar Pradesh,9,Auraiya,31
Uttar Pradesh,9,Kanpur Dehat,32
Uttar Pradesh,9,Kanpur Nagar,33
Uttar Pradesh,9,Jalaun,34
Uttar Pradesh,9,Jhansi,35
Uttar Pradesh,9,Lalitpur,36
Uttar Pradesh,9,Hamirpur,37
Uttar Pradesh,9,Mahoba,38
Uttar Pradesh,9,Banda,39
Uttar Pradesh,9,Chitrakoot,40
Uttar Pradesh,9,Fatehpur,41
Uttar Pradesh,9,Pratapgarh,42
Uttar Pradesh,9,Kaushambi,43
Uttar Pradesh,9,Allahabad,44
Uttar Pradesh,9,Bara Banki,45
Uttar Pradesh,9,Faizabad,46
Uttar Pradesh,9,Ambedkar Nagar,47
Uttar Pradesh,9,Sultanpur,48
Uttar Pradesh,9,Bahraich,49
Uttar Pradesh,9,Shrawasti,50
Uttar Pradesh,9,Balrampur,51
Uttar Pradesh,9,Gonda,52
Uttar Pradesh,9,Siddharthnagar,53
Uttar Pradesh,9,Basti,54
Uttar Pradesh,9,Sant Kabir Nagar,55
Uttar Pradesh,9,Maharajganj,56
Uttar Pradesh,9,Gorakhpur,57
Uttar Pradesh,9,Kushinagar,58
Uttar Pradesh,9,Deoria,59
Uttar Pradesh,9,Azamgarh,60
Uttar Pradesh,9,Mau,61
Uttar Pradesh,9,Ballia,62
Uttar Pradesh,9,Jaunpur,63
Uttar Pradesh,9,Ghazipur,64
Uttar Pradesh,9,Chandauli,65
Uttar Pradesh,9,Varanasi,66
Uttar Pradesh,9,Sant Ravidas Nagar(Bhadohi),67
Uttar Pradesh,9,Mirzapur,68
Uttar Pradesh,9,Sonbhadra,69
Uttar Pradesh,9,Etah,70
Uttar Pradesh,9,Kanshiram Nagar,71
Uttarakhand,5,Uttarkashi,1
Uttarakhand,5,Chamoli,2
Uttarakhand,5,Rudraprayag,3
Uttarakhand,5,Tehri Garhwal,4
Uttarakhand,5,Dehradun,5
Uttarakhand,5,Garhwal,6
Uttarakhand,5,Pithoragarh,7
Uttarakhand,5,Bageshwar,8
Uttarakhand,5,Almora,9
Uttarakhand,5,Champawat,10
Uttarakhand,5,Nainital,11
Uttarakhand,5,Udham Singh Nagar,12
Uttarakhand,5,Hardwar,13
West Bengal,19,Darjiling,1
West Bengal,19,Jalpaiguri,2
West Bengal,19,Koch Bihar,3
West Bengal,19,Uttar Dinajpur,4
West Bengal,19,Dakshin Dinajpur,5
West Bengal,19,Maldah,6
West Bengal,19,Murshidabad,7
West Bengal,19,Birbhum,8
West Bengal,19,Nadia,10
West Bengal,19,North Twenty Four Parganas,11
West Bengal,19,Kolkata,16
West Bengal,19,South Twenty Four Parganas,17
West Bengal,19,Barddhaman,9
West Bengal,19,Hugli,12
West Bengal,19,Haora,15
West Bengal,19,Bankura,13
West Bengal,19,Puruliya,14
West Bengal,19,Paschim Medinipur,18
West Bengal,19,Purba Medinipur,19
